,num_votes,rating,tconst,title,type,year
0,1691543,9.3,tt0111161,The Shawshank Redemption,feature,1994
1,1156916,9.2,tt0068646,The Godfather,feature,1972
2,791772,9.0,tt0071562,The Godfather: Part II,feature,1974
3,1678313,9.0,tt0468569,The Dark Knight,feature,2008
4,1326028,8.9,tt0110912,Pulp Fiction,feature,1994
5,1216930,8.9,tt0167260,The Lord of the Rings: The Return of the King,feature,2003
6,503953,8.9,tt0060196,"The Good, the Bad and the Ugly",feature,1966
7,448301,8.9,tt0050083,12 Angry Men,feature,1957
8,865963,8.9,tt0108052,Schindler's List,feature,1993
9,1349050,8.8,tt0137523,Fight Club,feature,1999
10,1239951,8.8,tt0120737,The Lord of the Rings: The Fellowship of the Ring,feature,2001
11,838757,8.8,tt0080684,Star Wars: Episode V - The Empire Strikes Back,feature,1980
12,1252786,8.8,tt0109830,Forrest Gump,feature,1994
13,1469919,8.8,tt1375666,Inception,feature,2010
14,229239,8.7,tt0047478,Seven Samurai,feature,1954
15,533638,8.7,tt0317248,City of God,feature,2002
16,912088,8.7,tt0076759,Star Wars: Episode IV - A New Hope,feature,1977
17,1101614,8.7,tt0167261,The Lord of the Rings: The Two Towers,feature,2002
18,1219028,8.7,tt0133093,The Matrix,feature,1999
19,729485,8.7,tt0099685,Goodfellas,feature,1990
20,680705,8.7,tt0073486,One Flew Over the Cuckoo's Nest,feature,1975
21,504091,8.6,tt1675434,The Intouchables,feature,2011
22,143262,8.6,tt0027977,Modern Times,feature,1936
23,882289,8.6,tt0120815,Saving Private Ryan,feature,1998
24,108397,8.6,tt0021749,City Lights,feature,1931
